time,open,high,low,close
1672272000,16540,16650,16486,16628
1672358400,16628,16650,16337,16603
1672444800,16602,16627,16471,16528
1672531200,16530,16622,16496,16615
1672617600,16615,16782,16552,16673
1672704000,16668,16766,16605,16670
1672790400,16673,16984,16652,16849
1672876800,16847,16871,16755,16826
1672963200,16826,17024,16669,16950
1673049600,16951,16975,16907,16945
1673136000,16946,17163,16915,17119
1673222400,17124,17393,17108,17179
1673308800,17177,17490,17147,17446
1673395200,17448,17992,17318,17930
1673481600,17948,19114,17911,18853
1673568000,18852,19991,18720,19931
1673654400,19936,21247,19895,20960
1673740800,20961,21052,20549,20885
1673827200,20879,21456,20634,21189
1673913600,21186,21594,20863,21134
1674000000,21136,21646,20358,20670
1674086400,20678,21185,20654,21086
1674172800,21085,22750,20869,22678
1674259200,22670,23362,22442,22783
1674345600,22791,23076,22314,22717
1674432000,22708,23167,22525,22922
1674518400,22922,23162,22473,22637
1674604800,22636,23815,22334,23054
1674691200,23063,23282,22866,23010
1674777600,23011,23500,22541,23083
1674864000,23082,23187,22894,23033
1674950400,23031,23954,22981,23746
1675036800,23748,23799,22504,22831
1675123200,22831,23318,22724,23127
1675209600,23134,23810,22768,23735
1675296000,23736,24258,23377,23498
1675382400,23503,23719,23212,23434
1675468800,23421,23582,23266,23330
1675555200,23328,23428,22766,22937
1675641600,22942,23148,22643,22763
1675728000,22761,23338,22751,23252
1675814400,23246,23439,22686,22961
1675900800,22965,23003,21700,21802
1675987200,21803,21939,21454,21639
1676073600,21631,21904,21610,21868
1676160000,21868,22086,21649,21789
1676246400,21790,21897,21376,21790
1676332800,21790,22316,21569,22211
1676419200,22208,24374,22064,24332
1676505600,24332,25270,23520,23521
1676592000,23518,25014,23369,24580
1676678400,24577,24869,24450,24640
1676764800,24638,25183,24211,24296
1676851200,24271,25118,23862,24843
1676937600,24843,25250,24165,24450
1677024000,24450,24474,23594,24188
1677110400,24188,24590,23636,23939
1677196800,23939,24124,22865,23189
1677283200,23186,23215,22770,23161
1677369600,23166,23678,23068,23562
1677456000,23560,23890,23126,23493
1677542400,23497,23594,23048,23136
1677628800,23146,23990,23040,23634
1677715200,23632,23791,23206,23466
1677801600,23469,23477,22000,22359
1677888000,22359,22401,22170,22347
1677974400,22347,22652,22212,22428
1678060800,22427,22590,22263,22407
1678147200,22414,22547,21931,22200
1678233600,22197,22275,21590,21704
1678320000,21697,21824,20043,20367
1678406400,20368,20368,19569,20220
1678492800,20226,20874,19893,20618
1678579200,20615,22269,20456,22183
1678665600,22190,24618,21900,24209
1678752000,24210,26533,24070,24750
1678838400,24745,25273,23940,24368
1678924800,24361,25217,24229,25050
1679011200,25051,27818,24954,27466
1679097600,27466,27776,26707,26980
1679184000,26992,28474,26900,28054
1679270400,28081,28567,27231,27815
1679356800,27808,28497,27436,28192
1679443200,28184,28936,26688,27320
1679529600,27320,28818,27187,28343
1679616000,28352,29380,27043,27493
1679702400,27497,27810,27210,27499
1679788800,27493,28217,27453,28004
1679875200,27992,28051,26541,27142
1679961600,27142,27514,26647,27272
1680048000,27272,28650,27258,28353
1680134400,28353,29170,27706,28039
1680220800,28036,28653,27533,28476
1680307200,28476,28816,28237,28469
1680393600,28469,28544,27891,28186
1680480000,28179,28506,27236,27816
1680566400,27820,28447,27686,28178
1680652800,28179,28782,27823,28183
1680739200,28181,28199,27723,28051
1680825600,28054,28118,27797,27931
1680912000,27931,28174,27891,27969
1680998400,27968,28544,27833,28340
1681084800,28353,29789,28184,29652
1681171200,29657,30575,29617,30246
1681257600,30255,30503,29689,29903
1681344000,29914,30614,29889,30410
1681430400,30411,31035,30001,30498
1681516800,30498,30620,30249,30332
1681603200,30327,30567,30157,30330
1681689600,30328,30337,29247,29448
1681776000,29452,30483,29122,30395
1681862400,30388,30423,28603,28827
1681948800,28814,29098,28005,28238
1682035200,28240,28362,27140,27254
1682121600,27253,27883,27137,27817
1682208000,27820,27820,27347,27596
1682294400,27594,27998,26981,27512
1682380800,27515,28392,27197,28300
1682467200,28306,30022,27242,28428
1682553600,28427,29887,28389,29485
1682640000,29486,29600,28922,29333
1682726400,29339,29460,29061,29247
1682812800,29252,29961,29115,29235
1682899200,29254,29344,27666,28079
1682985600,28079,28894,27876,28680
1683072000,28682,29276,28138,29033
1683158400,29043,29378,28691,28851
1683244800,28860,29701,28832,29547
1683331200,29537,29851,28422,28911
1683417600,28909,29194,28444,28472
1683504000,28485,28667,27290,27690
1683590400,27688,27841,27372,27650
1683676800,27648,28328,26842,27618
1683763200,27624,27640,26720,26991
1683849600,26987,27093,25800,26811
1683936000,26816,27052,26710,26789
1684022400,26805,27202,26598,26933
1684108800,26933,27666,26736,27166
1684195200,27166,27300,26868,27037
1684281600,27037,27488,26550,27404
1684368000,27413,27481,26374,26818
1684454400,26824,27176,26651,26893
1684540800,26889,27153,26840,27115
1684627200,27123,27277,26688,26750
1684713600,26753,27078,26547,26856
1684800000,26854,27478,26810,27226
1684886400,27225,27225,26076,26325
1684972800,26325,26611,25878,26478
1685059200,26486,26937,26338,26718
1685145600,26716,26893,26566,26872
1685232000,26875,28248,26785,28072
1685318400,28071,28452,27542,27749
1685404800,27748,28054,27570,27706
1685491200,27701,27840,26857,27219
1685577600,27220,27356,26625,26826
1685664000,26821,27300,26519,27251
1685750400,27250,27332,26937,27076
1685836800,27072,27451,26963,27125
1685923200,27114,27138,25389,25739
1686009600,25730,27357,25350,27236
1686096000,27252,27388,26140,26348
1686182400,26347,26809,26225,26510
1686268800,26507,26778,26289,26484
1686355200,26486,26528,25420,25857
1686441600,25857,26209,25657,25941
1686528000,25940,26103,25634,25906
1686614400,25906,26422,25718,25934
1686700800,25935,26078,24819,25127
1686787200,25125,25729,24756,25573
1686873600,25567,26485,25188,26333
1686960000,26333,26785,26173,26507
1687046400,26513,26685,26267,26340
1687132800,26336,27050,26260,26842
