time,open,high,low,close
1730934000,4.239,4.4465,4.236,4.4365
1731020400,4.439,4.439,4.2925,4.311
1731279600,4.3125,4.332,4.2225,4.2445
1731366000,4.2465,4.2595,4.132,4.145
1731452400,4.145,4.166,4.0655,4.0705
1731538800,4.0715,4.0985,4.0015,4.0785
1731625200,4.0785,4.172,4.0595,4.0635
1731884400,4.0665,4.1355,4.0505,4.1255
1731970800,4.124,4.1745,4.0885,4.1675
1732057200,4.166,4.179,4.1365,4.153
1732143600,4.153,4.1665,4.097,4.1115
1732230000,4.109,4.1195,4.061,4.085
1732489200,4.091,4.132,4.0865,4.104
1732575600,4.1075,4.115,4.0425,4.06
1732662000,4.131,4.174,4.1205,4.141
1732748400,4.14,4.167,4.1195,4.143
1733094000,4.143,4.1475,4.0815,4.14
1733180400,4.139,4.261,4.112,4.197
1733266800,4.197,4.2155,4.17,4.1985
1733353200,4.197,4.2335,4.1755,4.1995
1733439600,4.1995,4.253,4.1815,4.196
1733698800,4.2005,4.296,4.18,4.261
1733785200,4.26,4.279,4.231,4.273
1733871600,4.2735,4.3245,4.2315,4.2625
1733958000,4.2625,4.335,4.2175,4.2415
1734044400,4.2415,4.2435,4.1845,4.1955
1734303600,4.1965,4.219,4.17,4.1945
1734390000,4.1945,4.198,4.133,4.1475
1734476400,4.147,4.1695,4.0855,4.089
1734562800,4.092,4.118,4.07,4.083
1734649200,4.0845,4.112,4.07,4.0985
1734908400,4.0985,4.1285,4.0755,4.0945
1734994800,4.0945,4.1235,4.085,4.1025
1735167600,4.115,4.1455,4.0725,4.1385
1735254000,4.1365,4.151,4.108,4.127
1735513200,4.126,4.1485,4.0815,4.09
1735599600,4.09,4.098,4.0075,4.0235
1735772400,4.031,4.058,4.005,4.036
1735858800,4.035,4.0825,4.009,4.0765
1736118000,4.0765,4.2005,4.0585,4.1515
1736204400,4.152,4.213,4.1405,4.177
1736290800,4.1765,4.273,4.167,4.269
1736377200,4.269,4.3495,4.257,4.314
1736463600,4.3135,4.36,4.282,4.29
1736722800,4.284,4.3435,4.2735,4.3265
1736809200,4.3265,4.366,4.3105,4.348
1736895600,4.349,4.4045,4.3175,4.3985
1736982000,4.3975,4.447,4.385,4.435
1737068400,4.435,4.47,4.3445,4.351
1737327600,4.3565,4.3815,4.27,4.338
1737500400,4.3395,4.341,4.2815,4.2945
1737586800,4.2925,4.3355,4.2355,4.3275
1737673200,4.328,4.389,4.3085,4.311
1737932400,4.313,4.313,4.2225,4.242
1738018800,4.243,4.2795,4.2355,4.25
1738105200,4.2505,4.3115,4.205,4.2885
1738191600,4.287,4.3455,4.261,4.3095
1738278000,4.3075,4.319,4.257,4.273
1738537200,4.2585,4.3375,4.1835,4.3305
1738623600,4.332,4.372,4.3065,4.3625
1738710000,4.359,4.4565,4.343,4.437
1738796400,4.437,4.5095,4.411,4.4585
1738882800,4.458,4.608,4.457,4.595
1739142000,4.598,4.715,4.5705,4.693
1739228400,4.6935,4.7,4.541,4.5975
1739314800,4.5975,4.7125,4.5755,4.692
1739401200,4.695,4.7905,4.6835,4.7845
1739487600,4.783,4.8365,4.6365,4.6375
1739746800,4.6465,4.6695,4.5425,4.5825
1739919600,4.589,4.61,4.5515,4.57
1740006000,4.573,4.637,4.546,4.611
1740092400,4.61,4.615,4.533,4.536
1740351600,4.5355,4.5715,4.4975,4.509
1740438000,4.508,4.662,4.47,4.6545
1740524400,4.6585,4.7005,4.518,4.5345
1740610800,4.5835,4.6685,4.549,4.5945
1740697200,4.5955,4.597,4.5115,4.5635
1740956400,4.5765,4.6535,4.5365,4.5905
1741042800,4.588,4.6325,4.5185,4.581
1741129200,4.58,4.825,4.5465,4.806
1741215600,4.804,4.851,4.735,4.775
1741302000,4.7755,4.7955,4.6805,4.713
1741557600,4.714,4.734,4.63,4.646
1741644000,4.648,4.8045,4.626,4.7965
1741730400,4.7935,4.9035,4.775,4.8415
1741816800,4.841,4.9345,4.7965,4.9195
1741903200,4.928,4.9575,4.871,4.882
1742162400,4.8845,4.984,4.875,4.9775
1742248800,4.979,5.025,4.956,5.0055
1742335200,5.0045,5.1245,4.9965,5.122
1742421600,5.124,5.1485,5.056,5.113
1742508000,5.1105,5.1375,5.027,5.1035
1742767200,5.0965,5.1845,5.075,5.082
1742853600,5.086,5.2285,5.0765,5.2275
1742940000,5.2275,5.374,5.222,5.2405
1743026400,5.2405,5.2715,5.089,5.12
1743112800,5.1195,5.1675,5.062,5.1075
1743372000,5.13,5.146,4.985,5.0525
1743458400,5.055,5.1155,5.0045,5.0325
1743544800,5.0295,5.145,4.985,5.031
1743631200,5,5,4.808,4.812
1743717600,4.814,4.8245,4.372,4.388
1743976800,4.35,4.465,4.03,4.305
1744063200,4.3135,4.365,4.0925,4.116
1744149600,4.1075,4.4715,4.038,4.4715
1744236000,4.4665,4.467,4.31,4.391
1744322400,4.3785,4.565,4.327,4.5525
1744581600,4.59,4.687,4.5205,4.663
1744668000,4.653,4.6645,4.535,4.6155
1744754400,4.613,4.6985,4.5435,4.6775
1744840800,4.677,4.751,4.5645,4.705
1745186400,4.716,4.806,4.685,4.7205
1745272800,4.7205,4.8925,4.719,4.848
1745359200,4.86,4.932,4.821,4.832
1745445600,4.8325,4.886,4.8095,4.8815
1745532000,4.882,4.8905,4.736,4.845
1745791200,4.839,4.867,4.77,4.8485
1745877600,4.897,4.9635,4.8435,4.8625
1745964000,4.8625,4.8655,4.524,4.61
1746050400,4.6155,4.683,4.5975,4.634
1746136800,4.639,4.7435,4.618,4.6975
1746396000,4.704,4.7655,4.663,4.7055
1746482400,4.705,4.793,4.672,4.755
