time,open,high,low,close
1626217200,92.802,92.829,92.349,92.41
1626303600,92.395,92.694,92.272,92.624
1626390000,92.587,92.756,92.53,92.687
1626642000,92.712,93.039,92.635,92.891
1626735600,92.876,93.17,92.801,92.973
1626822000,92.969,93.191,92.726,92.754
1626908400,92.803,92.923,92.507,92.822
1626994800,92.807,93.024,92.779,92.912
1627246800,92.906,92.959,92.531,92.649
1627340400,92.626,92.836,92.317,92.432
1627426800,92.458,92.749,92.235,92.322
1627513200,92.265,92.289,91.856,91.864
1627599600,91.851,92.201,91.782,92.174
1627851600,92.09,92.171,91.912,92.048
1627945200,92.056,92.155,91.894,92.081
1628031600,92.039,92.308,91.817,92.27
1628118000,92.277,92.351,92.115,92.244
1628204400,92.265,92.841,92.261,92.8
1628456400,92.779,92.989,92.719,92.945
1628550000,92.977,93.139,92.939,93.055
1628636400,93.066,93.192,92.801,92.922
1628722800,92.888,93.035,92.846,93.035
1628809200,92.966,93.011,92.471,92.518
1629061200,92.523,92.661,92.481,92.628
1629154800,92.617,93.165,92.611,93.13
1629241200,93.144,93.264,92.956,93.136
1629327600,93.14,93.584,93.14,93.568
1629414000,93.563,93.729,93.434,93.496
1629666000,93.459,93.505,92.948,92.958
1629759600,92.987,93.084,92.806,92.893
1629846000,92.883,93.126,92.805,92.825
1629932400,92.83,93.078,92.81,93.062
1630018800,93.033,93.181,92.629,92.686
1630270800,92.681,92.788,92.598,92.653
1630364400,92.705,92.749,92.403,92.626
1630450800,92.663,92.789,92.378,92.449
1630537200,92.511,92.535,92.21,92.225
1630623600,92.224,92.26,91.947,92.035
1630969200,92.202,92.569,92.104,92.512
1631055600,92.541,92.862,92.473,92.653
1631142000,92.708,92.761,92.38,92.479
1631228400,92.534,92.649,92.33,92.582
1631480400,92.611,92.885,92.566,92.675
1631574000,92.619,92.68,92.322,92.623
1631660400,92.676,92.68,92.422,92.548
1631746800,92.461,92.964,92.458,92.932
1631833200,92.876,93.248,92.765,93.195
1632085200,93.246,93.453,93.185,93.276
1632178800,93.239,93.285,93.052,93.204
1632265200,93.225,93.514,92.992,93.462
1632351600,93.48,93.524,92.981,93.033
1632438000,93.072,93.419,93.046,93.327
1632690000,93.277,93.49,93.208,93.383
1632783600,93.412,93.806,93.363,93.766
1632870000,93.724,94.432,93.672,94.338
1632956400,94.353,94.503,94.109,94.23
1633042800,94.305,94.393,93.988,94.035
1633294800,94.071,94.104,93.678,93.776
1633388400,93.832,94.065,93.807,93.975
1633474800,93.99,94.447,93.984,94.266
1633561200,94.228,94.282,94.082,94.217
1633647600,94.207,94.336,93.939,94.067
1633899600,94.104,94.401,94.029,94.316
1633993200,94.37,94.561,94.229,94.516
1634079600,94.518,94.531,94.002,94.08
1634166000,94.023,94.087,93.759,93.956
1634252400,94.034,94.066,93.847,93.937
1634504400,93.954,94.171,93.869,93.953
1634598000,93.946,93.947,93.504,93.734
1634684400,93.808,93.879,93.541,93.558
1634770800,93.582,93.79,93.496,93.77
1634857200,93.75,93.786,93.536,93.642
1635109200,93.659,93.964,93.484,93.813
1635202800,93.842,94.022,93.705,93.949
1635289200,93.966,94.007,93.693,93.802
1635375600,93.884,93.969,93.278,93.345
1635462000,93.359,94.3,93.322,94.123
1635714000,94.134,94.309,93.858,93.879
1635807600,93.926,94.132,93.818,94.09
1635894000,94.122,94.212,93.82,93.864
1635980400,93.858,94.473,93.825,94.347
1636066800,94.337,94.62,94.186,94.32
1636322400,94.25,94.378,93.994,94.049
1636416000,94.091,94.153,93.875,93.955
1636502400,93.983,94.903,93.967,94.85
1636588800,94.844,95.196,94.841,95.178
1636675200,95.183,95.265,94.997,95.128
1636927200,95.122,95.595,94.967,95.407
1637020800,95.467,95.978,95.4,95.915
1637107200,95.939,96.241,95.726,95.828
1637193600,95.798,95.841,95.518,95.544
1637280000,95.585,96.239,95.58,96.031
1637532000,96.066,96.549,96.038,96.548
1637625600,96.456,96.609,96.309,96.491
1637712000,96.525,96.938,96.435,96.875
1637884800,96.722,96.77,95.753,96.043
1638136800,96.071,96.445,96.071,96.341
1638230400,96.224,96.642,95.517,95.994
1638316800,95.936,96.136,95.67,96.028
1638403200,96.074,96.175,95.827,96.156
1638489600,96.117,96.448,95.967,96.117
1638741600,96.151,96.427,96.125,96.328
1638835200,96.299,96.592,96.172,96.369
1638921600,96.256,96.379,95.849,95.894
1639008000,95.96,96.338,95.96,96.271
1639094400,96.215,96.427,95.976,96.097
1639346400,96.05,96.445,96.05,96.317
1639440000,96.352,96.587,96.099,96.571
1639526400,96.55,96.906,96.297,96.511
1639612800,96.433,96.446,95.851,96.042
1639699200,96.004,96.689,95.877,96.565
1639951200,96.672,96.69,96.335,96.551
1640044800,96.536,96.639,96.341,96.491
1640131200,96.468,96.602,96.02,96.076
1640217600,96.033,96.277,95.99,96.019
1640556000,96.149,96.257,96.048,96.093
1640649600,96.065,96.278,95.996,96.202
1640736000,96.15,96.395,95.764,95.929
1640822400,95.887,96.223,95.86,95.968
1640908800,95.986,96.107,95.57,95.598
1641160800,95.67,96.327,95.625,96.213
1641254400,96.186,96.462,96.032,96.262
1641340800,96.308,96.334,95.886,96.171
1641427200,96.203,96.387,96.035,96.32
1641513600,96.261,96.295,95.712,95.719
1641765600,95.739,96.229,95.739,95.991
1641859200,95.929,96.07,95.583,95.624
1641945600,95.579,95.69,94.907,94.915
1642032000,94.991,95.022,94.66,94.79
1642118400,94.871,95.266,94.629,95.165
1642464000,95.223,95.83,95.129,95.732
1642550400,95.771,95.791,95.492,95.51
1642636800,95.587,95.861,95.419,95.735
1642723200,95.809,95.838,95.495,95.642
1642975200,95.636,96.127,95.627,95.918
1643068800,95.934,96.272,95.897,95.948
1643155200,95.962,96.536,95.911,96.39
1643241600,96.545,97.292,96.533,97.255
1643328000,97.25,97.441,97.055,97.27
1643580000,97.217,97.297,96.518,96.54
1643673600,96.702,96.722,96.235,96.385
1643760000,96.268,96.301,95.806,95.936
1643846400,96.022,96.25,95.237,95.379
1643932800,95.307,95.701,95.137,95.485
1644184800,95.478,95.631,95.354,95.399
1644278400,95.429,95.75,95.398,95.643
1644364800,95.589,95.674,95.383,95.494
1644451200,95.568,96.002,95.173,95.553
1644537600,95.941,96.111,95.641,96.082
1644789600,96.034,96.435,95.906,96.374
1644883200,96.244,96.287,95.957,95.989
1644969600,96.007,96.062,95.677,95.701
1645056000,95.772,96.107,95.711,95.8
1645142400,95.831,96.165,95.729,96.043
1645488000,96.081,96.257,95.841,96.025
1645574400,96.04,96.236,95.848,96.19
1645660800,96.223,97.735,96.223,97.137
1645747200,97.003,97.221,96.523,96.615
1645999200,96.541,97.421,96.541,96.707
1646092800,96.765,97.576,96.626,97.409
1646179200,97.369,97.829,97.293,97.385
1646265600,97.471,97.953,97.429,97.785
1646352000,98.043,98.916,97.836,98.648
1646604000,98.509,99.418,98.509,99.293
1646697600,99.244,99.323,98.708,99.062
1646784000,99.116,99.116,97.853,97.968
1646870400,98.06,98.596,97.712,98.507
1646956800,98.361,99.157,98.267,99.124
1647205200,99.126,99.292,98.682,98.999
1647298800,99.126,99.2,98.638,99.097
1647385200,98.889,99.079,98.295,98.618
1647471600,98.503,98.508,97.727,97.974
