time,open,high,low,close
1623103200,27.85,27.972,27.512,27.603
1623189600,27.6,27.999,27.526,27.749
1623276000,27.7457,28.03,27.474,27.977
1623362400,27.977,28.281,27.889,27.889
1623621600,27.89,28.018,27.48,27.833
1623708000,27.833,27.886,27.402,27.637
1623794400,27.637,27.829,26.6274,26.908
1623880800,26.909,27.244,25.778,25.878
1623967200,25.869,26.491,25.764,25.779
1624226400,25.779,26.078,25.556,25.925
1624312800,25.933,26.035,25.696,25.73
1624399200,25.728,26.289,25.728,25.848
1624485600,25.85,26.165,25.826,25.9082
1624572000,25.94,26.295,25.923,26.077
1624831200,26.077,26.219,25.8,26.058
1624917600,26.065,26.112,25.529,25.745
1625004000,25.756,26.145,25.709,26.117
1625090400,26.1,26.4,25.954,25.9997
1625176800,26.01,26.564,25.989,26.459
1625436000,26.4326,26.773,26.013,26.14
1625608800,26.126,26.434,25.99,26.139
1625695200,26.1567,26.21,25.81,25.9066
1625781600,25.922,26.207,25.771,26.099
1626040800,26.099,26.28,25.876,26.2008
1626127200,26.201,26.345,25.943,25.964
1626213600,25.964,26.464,25.95,26.23
1626300000,26.2007,26.395,26.165,26.32
1626386400,26.3021,26.447,25.602,25.655
1626645600,25.655,25.758,25.001,25.166
1626732000,25.1636,25.272,24.817,24.92
1626818400,24.901,25.308,24.763,25.256
1626904800,25.209,25.455,25.018,25.4
1626991200,25.399,25.468,25.007,25.161
1627250400,25.144,25.433,25.13,25.186
1627336800,25.1558,25.262,24.5,24.669
1627423200,24.67,25.012,24.624,24.958
1627509600,24.9452,25.798,24.9452,25.5
1627596000,25.491,25.636,25.348,25.454
1627855200,25.45,25.632,25.306,25.3822
1627941600,25.369,25.599,25.253,25.484
1628028000,25.497,26.002,25.332,25.36
1628114400,25.363,25.505,25.09,25.13
1628200800,25.1357,25.198,24.201,24.31
1628460000,24.298,24.3618,22.3916,23.4358
1628546400,23.426,23.668,23.241,23.321
1628632800,23.311,23.586,23.217,23.5336
1628719200,23.499,23.549,23.012,23.158
1628805600,23.169,23.831,23.169,23.711
1629064800,23.711,23.897,23.429,23.8388
1629151200,23.842,23.954,23.577,23.6625
1629237600,23.6558,23.823,23.296,23.5036
1629324000,23.513,23.535,23.102,23.2018
1629410400,23.2008,23.322,22.881,23.013
1629669600,23.013,23.69,22.982,23.592
1629756000,23.58,23.95,23.543,23.823
1629842400,23.813,23.889,23.586,23.8332
1629928800,23.8332,23.869,23.441,23.549
1630015200,23.55,24.114,23.35,23.989
1630274400,23.989,24.212,23.921,23.9948
1630360800,23.9918,24.204,23.811,23.8648
1630447200,23.8668,24.263,23.761,24.1068
1630533600,24.112,24.216,23.796,23.8871
1630620000,23.874,24.868,23.874,24.69
1630879200,24.675,24.822,24.171,24.2952
1631052000,24.303,24.408,23.914,23.946
1631138400,23.915,24.287,23.851,24.033
1631224800,24.032,24.294,23.734,23.737
1631484000,23.737,23.852,23.389,23.731
1631570400,23.731,23.958,23.4456,23.84
1631656800,23.835,23.908,23.67,23.829
1631743200,23.836,23.964,22.608,22.896
1631829600,22.906,23.13,22.335,22.3598
1632088800,22.396,22.51,22.044,22.224
1632175200,22.238,22.719,22.238,22.4498
1632261600,22.456,23.141,22.456,22.663
1632348000,22.662,22.876,22.478,22.4878
1632434400,22.501,22.795,22.111,22.39
1632693600,22.382,22.843,22.382,22.597
1632780000,22.5912,22.667,22.107,22.437
1632866400,22.43,22.55,21.429,21.5147
1632952800,21.496,22.23,21.479,22.1667
1633039200,22.163,22.583,22.004,22.506
