time,open,high,low,close
1624282200,4173.4,4226.24,4173.4,4224.8
1624368600,4224.61,4255.84,4217.27,4246.43
1624455000,4249.27,4256.6,4241.43,4241.83
1624541400,4256.97,4271.28,4256.97,4266.48
1624627800,4276.28,4286.12,4271.16,4280.69
1624887000,4284.9,4292.14,4274.67,4290.62
1624973400,4293.21,4300.52,4287.04,4291.81
1625059800,4290.65,4302.43,4287.96,4297.49
1625146200,4300.73,4320.66,4300.73,4319.93
1625232600,4326.6,4355.43,4326.6,4352.33
1625578200,4356.46,4356.46,4314.37,4343.53
1625664600,4351.01,4361.88,4329.79,4358.14
1625751000,4321.07,4330.88,4289.37,4320.83
1625837400,4338.55,4371.6,4338.55,4369.54
1626096600,4372.41,4386.68,4364.03,4384.64
1626183000,4377.67,4392.37,4366.92,4369.2
1626269400,4380.11,4393.68,4362.36,4374.31
1626355800,4369.02,4369.02,4340.7,4360.04
1626442200,4367.43,4375.09,4322.53,4327.15
1626701400,4296.4,4296.4,4233.13,4258.48
1626787800,4265.11,4336.84,4262.05,4323.05
1626874200,4331.13,4359.7,4331.13,4358.68
1626960600,4361.27,4369.87,4350.06,4367.49
1627047000,4381.2,4415.18,4381.2,4411.8
1627306200,4409.58,4422.73,4405.45,4422.31
1627392600,4416.38,4416.38,4372.51,4401.47
1627479000,4402.95,4415.47,4387.01,4400.63
1627565400,4403.59,4429.97,4403.59,4419.14
1627651800,4395.12,4412.25,4389.65,4395.27
1627911000,4406.86,4422.18,4384.81,4387.15
1627997400,4392.74,4423.79,4373,4423.16
1628083800,4415.95,4416.17,4400.23,4402.65
1628170200,4408.86,4429.42,4408.86,4429.09
1628256600,4429.07,4440.82,4429.07,4436.51
1628515800,4437.77,4439.39,4424.74,4432.34
1628602200,4435.79,4445.21,4430.03,4436.74
1628688600,4442.18,4449.44,4436.42,4447.69
1628775000,4446.08,4461.77,4435.96,4460.82
1628861400,4464.84,4468.37,4460.82,4467.99
1629120600,4461.65,4480.26,4437.66,4479.72
1629207000,4462.12,4462.12,4417.83,4448.07
1629293400,4440.94,4454.32,4397.59,4400.26
1629379800,4382.44,4418.61,4367.73,4418.61
1629466200,4410.56,4444.35,4406.8,4441.67
1629725400,4450.29,4489.88,4450.29,4479.54
1629811800,4484.4,4492.81,4482.28,4486.22
1629898200,4490.45,4501.71,4485.66,4496.2
1629984600,4493.75,4495.9,4468.99,4470.01
1630071000,4474.1,4513.33,4474.1,4509.38
1630330200,4513.76,4537.36,4513.76,4528.8
1630416600,4529.75,4531.39,4515.8,4522.69
1630503000,4531.57,4537.11,4522.02,4524.1
1630589400,4534.48,4545.85,4524.66,4536.94
1630675800,4532.42,4541.45,4521.3,4535.42
1631021400,4532.45,4532.45,4513,4520.02
1631107800,4518.09,4521.79,4493.95,4514.08
1631194200,4513.02,4529.9,4492.07,4493.27
1631280600,4506.92,4520.47,4457.66,4458.57
1631539800,4474.81,4492.99,4445.7,4468.72
1631626200,4479.33,4485.68,4435.46,4443.06
1631712600,4447.49,4486.87,4438.37,4480.69
1631799000,4477.09,4485.87,4443.8,4473.76
1631885400,4469.74,4471.52,4427.76,4432.98
1632144600,4402.95,4402.95,4305.91,4357.72
1632231000,4381.72,4394.87,4347.96,4354.18
1632317400,4375.98,4416.75,4375.98,4395.63
1632403800,4406.75,4465.4,4406.75,4448.99
1632490200,4438.04,4463.12,4430.27,4455.47
1632749400,4441.55,4457.3,4436.19,4443.1
1632835800,4419.54,4419.54,4346.33,4352.64
1632922200,4366.31,4385.57,4355.08,4359.45
1633008600,4370.67,4382.55,4306.24,4307.53
1633095000,4317.16,4375.19,4288.52,4357.05
1633354200,4348.84,4355.51,4278.94,4300.47
1633440600,4309.87,4369.23,4309.87,4345.71
1633527000,4319.57,4365.57,4290.49,4363.56
1633613400,4383.73,4429.97,4383.73,4399.75
1633699800,4406.51,4412.02,4386.22,4391.35
1633959000,4385.44,4415.88,4360.59,4361.2
1634045400,4368.31,4374.89,4342.09,4350.64
1634131800,4358.01,4372.87,4329.92,4363.79
1634218200,4386.75,4439.73,4386.75,4438.25
1634304600,4447.69,4475.82,4447.69,4471.38
1634563800,4463.72,4488.75,4447.47,4486.47
1634650200,4497.34,4520.4,4496.41,4519.64
1634736600,4524.42,4540.87,4524.4,4536.2
1634823000,4532.24,4551.44,4526.89,4549.79
1634909400,4546.12,4559.67,4524,4544.91
1635168600,4553.69,4572.62,4537.36,4566.49
1635255000,4578.69,4598.53,4569.17,4574.8
1635341400,4580.22,4584.57,4551.66,4551.67
1635427800,4562.84,4597.55,4562.84,4596.41
1635514200,4572.87,4608.08,4567.59,4605.39
1635773400,4610.62,4620.34,4595.06,4613.68
1635859800,4613.34,4635.15,4613.34,4630.66
1635946200,4630.65,4663.46,4621.19,4660.58
1636032600,4662.93,4683,4662.59,4680.07
1636119000,4699.26,4718.5,4681.32,4697.54
1636381800,4701.48,4714.92,4694.39,4701.69
1636468200,4707.25,4708.53,4670.87,4685.26
1636554600,4670.26,4684.85,4630.86,4646.7
1636641000,4659.39,4664.55,4648.31,4649.26
1636727400,4655.24,4688.47,4650.77,4682.86
1636986600,4689.3,4697.42,4672.86,4682.81
1637073000,4679.42,4714.95,4679.42,4700.91
1637159400,4701.5,4701.5,4684.41,4688.68
1637245800,4700.72,4708.8,4672.78,4704.55
1637332200,4708.44,4717.75,4694.22,4697.95
1637591400,4712,4743.83,4682.17,4682.95
1637677800,4678.48,4699.39,4652.66,4690.69
1637764200,4675.78,4702.87,4659.89,4701.45
1637937000,4664.63,4664.63,4585.43,4594.61
1638196200,4628.75,4672.95,4625.26,4655.26
1638282600,4640.25,4646.02,4560,4567.01
1638369000,4602.82,4652.94,4510.27,4513.03
1638455400,4504.73,4595.46,4504.73,4577.09
1638541800,4589.49,4608.03,4495.12,4538.44
